,text,label
1,lar Joking u ,normal
2,Free entry 2 wkly comp win FA Cup final 21st May 2005 Text FA 87121 receive entry question std rate T C apply ,spam
3,U dun say early hor U c already say ,normal
4,Nah I think goes lives around though ,normal
5,Hey darling 3 week word back I like fun still Tb std send 1 50 ,spam
6,Even brother like speak They treat like aids patent ,normal
8,WINNER As valued network customer selected 900 prize reward To claim call 09061701461 Claim code Valid 12 hours ,spam
9,Had mobile 11 months U R entitled Update latest mobiles camera Free Call The Mobile Update Co FREE 08002986030 ,spam
11,SIX chances win CASH From 100 20 000 pounds send 87575 Cost day 16 apply Reply HL 4 info ,spam
12,URGENT You 1 week FREE membership 100 000 Prize Jackpot word CLAIM No 81010 T C net ,spam
13,I searching right words thank breather I promise wont take help granted promise You wonderful blessing times ,normal
14,I HAVE A DATE ON SUNDAY WITH WILL ,normal
16,Oh k watching ,normal
18,Fine way u feel way b ,normal
19,England v Macedonia miss goals team news national team 87077 ENGLAND 87077 Try WALES SCOTLAND 20 16 ,spam
20,Is seriously spell name ,normal
21,I going try 2 months ha ha joking ,normal
22,So pay first lar Then stock ,normal
30,Wait still clear sure sarcastic x want live us ,normal
32,K tell anything ,normal
34,Thanks subscription Ringtone UK mobile charged 5 month Please confirm replying YES NO If reply NO charged ,spam
37,I see letter B car ,normal
38,Anything U decide ,normal
39,Hello How go I texting see decided anything Not trying invite anything ,normal
40,go ahead watts I wanted sure Do great weekend ,normal
42,07732584351 Rodger Burns MSG We tried call reply free mobile free camcorder Please call 08000930705 delivery tomorrow ,spam
46,get hep b ,normal
48,Yeah hopefully I could maybe ask around bit ,normal
54,ac The New Jersey Devils Detroit Red Wings play Ice Hockey Correct Incorrect End Reply END ,spam
55,Do know yesterday Find URL gt ,normal
57,Sorry I call later meeting ,normal
59,Yes series ,normal
62,Its part checking IQ ,normal
65,As valued customer I pleased advise following recent review Mob No awarded 1500 Bonus Prize call 09066364589 ,spam
66,Today song dedicated day Which song u dedicate Send valuable first ,normal
67,Urgent UR awarded complimentary trip Or 1000 To claim DIS 87121 18 6 1 50 10 ,spam
70,lucky man Then save money ,normal
71,Finished class ,normal
74,U call ,normal
75,I waiting Call free ,normal
76,cool gentleman treat dignity respect ,normal
78,Does operate gt ,normal
79,Its Still looking job How much Ta earn ,normal
80,Sorry I call later ,normal
82,way home hi hi ,normal
83,You place man ,normal
84,Yup next stop ,normal
85,I call later network If ,normal
89,download come wen free ,normal
93,Please call customer service representative 0800 169 6031 WON guaranteed 1000 cash 5000 prize ,spam
96,Watching movie wat u ,normal
97,see When finish loads loans pay ,normal
99,Please text anymore I nothing else say ,normal
100,Okay name price long legal Wen I pick Y u ave x xx ,normal
104,life love lot dear ,normal
107,How would address test considering computer server ,normal
109,worry I guess busy ,normal
110,What plural noun research ,normal
113,GENT We trying contact Last weekends draw shows 1000 prize GUARANTEED Call 09064012160 Claim Code Valid ,spam
116,You winner U specially selected 2 receive 1000 4 holiday flights inc speak live operator 2 claim min 18 ,spam
118,Hmm uncle informed paying school directly So buy food ,normal
119,PRIVATE Your 2004 Account Statement 07742676969 shows 786 unredeemed Bonus Points To claim call 08719180248 Identifier Code 45239 Expires ,spam
120,URGENT Your Mobile No awarded 2000 Bonus Caller Prize 5 9 03 This final try contact U Call Landline 09064019788 ,spam
123,I going mu today Will done 12 ,normal
124,predict wat time finish buying ,normal
125,Good stuff ,normal
127,Are room ,normal
129,K k much cost ,normal
130,I home ,normal
131,Dear call ,normal
132,First answer question ,normal
133,Sunshine Quiz Wkly Q Win top Sony DVD player u know country 82277 1 50 SP Tyrone ,spam
134,Want 2 get laid tonight Want real Dogging locations sent direct 2 mob Join UK largest Dogging Network GRAVEL 69888 ,spam
135,I It com ,normal
136,He You call meet ,normal
140,K text way ,normal
141,Sir Waiting mail ,normal
143,I know Can open back ,normal
144,Yes see ya dot ,normal
146,Why replied text I Randy sexy female live local hear u Ltd per reply Stop end ,spam
147,call check life begin pray hard ,normal
148,K deleted contact ,normal
152,Ur typical reply ,normal
155,work ,normal
156,I leaving house ,normal
159,You winner U specially selected 2 receive 1000 cash 4 holiday flights inc speak live operator 2 claim 0871277810810 ,spam
162,I love I excited day spend You make happy ,normal
164,Ur order way U SHOULD receive Service 2 download UR content If U UR mobile internet service menu ,spam
165,I place points e cultures module already ,normal
166,URGENT We trying contact Last weekends draw shows 900 prize GUARANTEED Call 09061701939 Claim code Valid ,spam
170,Sir I need AXIS BANK account bank address ,normal
172,What time coming later ,normal
175,Let know got money make call ,normal
178,Text If reply let know log ,normal
181,U trust ,normal
182,I gentleman treat dignity respect ,normal
183,He guys close ,normal
184,Going nothing great bye ,normal
185,Hello handsome Are finding job Not lazy Working towards getting back net mummy Where Does miss ,normal
186,awesome minute ,normal
187,Please call customer service representative FREEPHONE 0808 145 4742 WON guaranteed 1000 cash 5000 prize ,spam
191,I sorry I joined league people keep touch You mean great deal You friend times even great personal cost Do great week ,normal
192,Hi finally completed course ,normal
193,It stop I however suggest stays someone able give every stool ,normal
195,dear nice day ,normal
196,Did u got persons story ,normal
198,Hi Kate evening I hope see tomorrow bit bloody back u xxx ,normal
201,Hello finished college u finish u love Kate xxx ,normal
204,U call alter 11 ,normal
205,say like dat dun buy cannot lar ,normal
208,You please give us connection today DECIMAL gt refund bill ,normal
209,Both shoot big loads get ready ,normal
211,Home always chat ,normal
212,K k good study well ,normal
213,Yup How ,normal
214,Sounds great Are home ,normal
218,I take exam march 3 ,normal
220,prob Take time ,normal
221,There os called run without installing hard disk use os copy important files system give repair shop ,normal
222,Sorry I call later ,normal
224,500 New Mobiles 2004 MUST GO NOKIA No 89545 collect today From ONLY 1 4 biz 087187262701 ,spam
225,Would really appreciate call Just need someone talk ,normal
226,Will u meet dream partner soon Is career 2 start 2 find free followed star sign e g ARIES ,spam
227,Hey company ,normal
228,Life strict teacher Teacher teaches lesson amp conducts exam But Life first conducts Exam amp teaches Lessons Happy morning ,normal
229,Dear good morning ,normal
231,Dear going rubber place ,normal
233,Yes always available work place ,normal
234,Text meet someone sexy today U find date even flirt U Join 4 REPLY NAME AGE Sam 25 18 recd pence ,spam
237,Where reach ,normal
239,U 447801259231 secret admirer looking 2 make contact U find R reveal thinks UR special call 09058094597 ,spam
242,Okay No shining That meant signing sounds better ,normal
244,U remember old commercial ,normal
245,Too late I said website I slippers ,normal
246,I asked call ,normal
249,Congratulations awarded 500 CD vouchers guaranteed Free entry 2 100 wkly draw MUSIC 87066 ,spam
252,What ,normal
253,Ups also shipping company takes The way takes week gets lag may bribe get stuff ,normal
254,I back lemme know ready ,normal
255,Don necessarily expect done get back though I ,normal
260,Yup ,normal
263,Hey I really horny want chat see naked text hot 69698 text charged unsubscribe text stop 69698 ,spam
267,Ur ringtone service changed 25 Free credits Go com choose content Stop CLUB STOP 87070 wk PO ,spam
270,Come mu sorting narcotics situation ,normal
272,BONUS SPECIAL 500 pounds genuine vouchers Just answer 4 easy questions Play Now Send 86688 More info real com ,spam
273,I guess might well take 1 car ,normal
274,No objection My bf coming ,normal
275,,normal
276,Tell rob mack theater ,normal
277,Awesome I see bit ,normal
278,Just sent So type food like ,normal
279,All done All handed Celebrations full swing yet ,normal
280,You got called tool ,normal
281,Wen u miss someone ,normal
282,I asked money far ,normal
283,Okie ,normal
286,,normal
289,Dear shall mail busy street shall update things looking good one real sense ,normal
293,Are much ,normal
294,I accidentally deleted message Resend please ,normal
295,T Mobile customer may claim FREE CAMERA PHONE upgrade pay go sim card loyalty Call 0845 021 3680 Offer ends T C apply ,spam
296,Unless situation YOU GO would appropriate ,normal
299,Need coffee run Can believe time week already ,normal
303,He actor ,normal
304,ac Blind Date 21 Aberdeen United Kingdom Check Him ac W 4 Blind Dates send HIDE ,spam
305,Yup From I think book ,normal
306,Jos ask u meet ,normal
308,Check newest selection content Games Tones Gossip babes sport Keep mobile fit funky text 82468 ,spam
309,Where garage keys They bookshelf ,normal
311,Think smart Win 200 week weekly quiz text PLAY 85222 T Cs PO BOX 84 16 50 week ,spam
313,Hi way I u normal way real UR unique I hope I know u 4 rest Hope u find wot lost ,normal
314,You made day Do great day ,normal
315,K k advance happy ,normal
318,December Had mobile You entitled update latest camera mobile Free Call The Mobile Update Co FREE 08002986906 ,spam
324,No problem How ,normal
326,Hi class ,normal
327,I say good sign well know track record reading women ,normal
330,K k k good movie ,normal
331,Maybe could get book return immediately Or something ,normal
336,Cool So come wined dined ,normal
338,Sorry I call later ,normal
340,great lot ,normal
343,Am interested like ,normal
347,One small prestige problem ,normal
348,Fancy shag I Interested com SUZY 69876 cost 1 50 per website X ,spam
349,Just checking Really miss seeing Jeremiah Do great month ,normal
350,Nah help I never ,normal
351,If car hour half I going ,normal
356,Congratulations awarded 500 CD vouchers guaranteed Free entry 2 100 wkly draw MUSIC 87066 ,spam
357,Ur cash balance currently 500 pounds maximize cash send CASH 86688 CC 08708800282 HG Row ,spam
358,I actor When work work evening sleep late Since unemployed moment ALWAYS sleep late When unemployed every day ,normal
360,Ha ha cool cool DB ,normal
361,Oh prob ,normal
362,Check status right ,normal
363,Busy Trying finish new year I looking forward finally meeting ,normal
368,Wat uniform In get ,normal
369,Cool text ready ,normal
373,I cant keep talking people sure pay agree price So tell want really buy much willing pay ,normal
374,Thanks Ringtone Order Reference You charged 4 per week You unsubscribe anytime calling customer services 09057039994 ,spam
375,Can say happen ,normal
376,You could seen Face ,normal
378,Keep brings ,normal
382,Hey leave big deal take care ,normal
386,Customer place call ,normal
387,Mm time like fun ,normal
388,half price Orange line rental latest camera phones 4 FREE Had phone Call free 08000938767 update ,spam
391,Hey sat going intro Or kickboxing ,normal
392,Morning ,normal
394,Pick bout 7 What time going ,normal
399,k want change field quickly wanna get system administrator network administrator ,normal
400,FREE RINGTONE text FIRST 87131 poly text GET 87131 true tone Help 0845 2814032 16 1st free tones stop ,spam
401,Dear Did talk ,normal
405,get used driving man I know lot stoners ,normal
408,towards ,normal
409,Message text missing Sender Name Missing Number Missing Sent Date missing Missing U lot everything missing sent via com ,normal
413,Bring home Wendy D ,normal
414,100 dating service cal l 09064012103 ,spam
415,u want sleep ,normal
416,Alright new goal ,normal
418,Alright I head minutes text meet ,normal
419,Send logo 2 lover 2 names joined heart LOVE LOVE ADAM EVE 07123456789 87077 Yahoo 4 ads ,spam
420,Yes last week taking live call ,normal
421,Someone contacted dating service entered phone fancy To find call landline 09111032124 ,spam
422,Siva hostel aha ,normal
423,URGENT Your Mobile number awarded 2000 prize GUARANTEED Call 09058094455 land line Claim 3030 Valid ,spam
425,She I guess ,normal
426,dear ,normal
430,At home watching ,normal
432,Congrats Nokia 3650 video camera phone Call 09066382422 Calls cost Ave call vary mobiles 16 Close 300603 post ,spam
433,Booked ticket ,normal
438,Hi hope u get journey 50 late I think ,normal
439,But I like love arrange ,normal
443,Sorry I call later ,normal
446,Well done blimey exercise yeah kinda remember wot hmm ,normal
448,Have made plans new years ,normal
449,10 min later k ,normal
450,hanks ,normal
451,Thanks hope good day today ,normal
452,K k detail want transfer acc enough ,normal
453,tell stay Yeah tough optimistic things improve month ,normal
454,Loan purpose 500 75 000 Homeowners Tenants welcome Have previously refused We still help Call Free 0800 1956669 text back help ,spam
457,I hope result consistently intelligent kind Start asking practicum links keep ears open best ,normal
463,Sorry I call later bye ,normal
466,They put stuff roads keep getting slippery ,normal
467,When going ride bike ,normal
469,There many company Tell language ,normal
470,Dear Dave final notice collect 4 Tenerife Holiday 5000 CASH award Call 09061743806 landline ,spam
476,Love love u lot ,normal
478,K I pick another 8th done ,normal
479,When guys getting back G said thinking staying ,normal
480,Almost see u sec ,normal
481,Yo friends already asking working weekend ,normal
482,Watching ,normal
484,You change ,normal
485,If win really 1 side long time ,normal
489,I think fixed send test message ,normal
492,Sorry meeting I call later ,normal
494,Are free call ,normal
495,Got meh When ,normal
498,Kate rec center right ,normal
499,Dear room ,normal
501,When come ,normal
502,Check ,normal
504,123 Congratulations week competition draw u 1450 prize claim call 09050002311 T Cs stop 08718727868 Over 18 ,spam
508,What significance ,normal
510,8 latest g still scrounge ammo want give new try ,normal
511,heart ,normal
513,No change tat ,normal
514,You guaranteed latest Nokia Phone iPod player 500 prize word COLLECT No 83355 ,spam
515,S competition ,normal
516,tones Reply POLY MONO 1 Cha Cha Slide 2 Yeah 3 Slow 6 Toxic 8 Come With Me STOP 4 tones MORE ,spam
518,That way transport less problematic sat night By way u want ask n join feel free But need know definite nos booking ,normal
520,But might less elsewhere ,normal
521,Shall come get pickle ,normal
524,URGENT Your Mobile No awarded 2 000 Bonus Caller Prize 02 09 03 This 2nd attempt contact YOU Call 0871 872 9755 ,spam
528,You tone within next For Terms conditions please see Channel U Teletext Pg 750 ,spam
529,Jay says double faggot ,normal
530,PRIVATE Your 2003 Account Statement 07815296484 shows 800 redeemed S I M points Call 08718738001 Identifier Code 41782 Expires 18 11 04 ,spam
531,What Today holiday work ,normal
533,I late ,normal
534,I called This hoping malaria know miss guys I miss Bani big give love especially Have great day ,normal
539,I started office call ,normal
545,Then special ,normal
547,Sorry took long ,normal
549,give 5 minutes I think I see BTW alibi You cutting hair whole time ,normal
556,Having lunch online ,normal
560,Hi office ,normal
561,4 e brownie v nice ,normal
563,GENT We trying contact Last weekends draw shows 1000 prize GUARANTEED Call 09064012160 Claim Code Valid ,spam
571,Do know lab goggles went ,normal
572,Can open door ,normal
573,Waiting call ,normal
575,You 1 000 cash 2 000 prize To claim ,spam
581,anyway need change said ,normal
589,I meeting call later ,normal
590,For chance win 250 wkly shopping spree SHOP 80878 T C 2 shop com 08715705022 wk ,spam
591,You specially selected receive 2000 pound award Call 08712402050 BEFORE lines close Cost 16 T Cs apply AG Promo ,spam
592,PRIVATE Your 2003 Account Statement 07753741225 shows 800 redeemed S I M points Call 08715203677 Identifier Code 42478 Expires 24 10 04 ,spam
593,You still grand ,normal
595,I great How ,normal
596,dear nice day ,normal
600,Mind No Tsunamis occur stopped swimming Indian Ocean D ,normal
601,If u sending home first I ready yet ,normal
603,Be happy I come noon ,normal
604,Meet lunch la ,normal
605,n ,normal
606,28 5 SOIREE WITH NICHOLS FROM PARIS FREE ROSES 2 ALL LADIES info 07946746291 07880867867 ,spam
608,Neva mind ,normal
610,22 days kick For U kept date latest news results daily To removed send GET STOP 83222 ,spam
612,I many dependents ,normal
614,I called said choose future ,normal
615,Happy valentines day I know early hundreds beauties wish So thought finish aunties uncles 1st ,normal
623,sorry got things may pub later ,normal
625,good hear I officially paid market 8th ,normal
626,How many licks take get center tootsie pop ,normal
628,New Chat 2 horny guys area 4 Free 2 receive Search postcode com ONE name 89693 ,spam
630,Please say like Hi hi hi ,normal
631,Thank u ,normal
632,Oh forwarded message I thought send ,normal
634,Dear Voucher Holder 2 claim weeks offer PC go e co Ts Cs apply 2 stop texts STOP 80062 ,spam
637,When login dat time Dad fetching home ,normal
639,I u question hours Its answer ,normal
647,PRIVATE Your 2003 Account Statement shows 800 redeemed S I M points Call 08715203694 Identifier Code 40533 Expires 31 10 04 ,spam
648,No prob I send email ,normal
649,You 1 000 cash 2 000 prize To claim T C ,spam
653,Fine miss much ,normal
654,Did u got persons story ,normal
655,Tell drug dealer getting impatient ,normal
657,You place man ,normal
658,It make sense take unless free If need know com ,normal
663,Leave de Start Prepare next ,normal
664,Yes baby We study positions sutra ,normal
666,Carlos minute still need buy ,normal
667,This pay DECIMAL gt lakhs ,normal
668,Have good evening ,normal
669,Did u receive ,normal
672,Get 1st RINGTONE FREE NOW Reply TONE TOP 20 tones phone every week 1 50 per wk 2 opt send STOP 08452810071 16 ,spam
676,Maybe Say hi find got card Great escape ,normal
678,Cause I freaky ,normal
680,What hex place talk Explain ,normal
681,log 4 wat It ,normal
682,Is going 4 e lunch ,normal
683,Hi I sue I 20 years old work I love sex Text live I bedroom text SUE 89555 By 18 ,spam
685,Have finished work yet ,normal
688,Thanks love But torch bold ,normal
689,Forwarded 448712404000 Please CALL 08712404000 immediately urgent message waiting ,spam
691,Sorry trouble u Can buy dad 1405 1680 1843 All 2 big 1 small sat n sun ,normal
693,Will purchase stuff today mail Do box number ,normal
695,Good Good job I like entrepreneurs ,normal
696,close still around place ,normal
699,K u also reply ,normal
700,How much r willing pay ,normal
701,Sorry I call later ,normal
702,What important prevent dehydration giving enough fluids ,normal
705,I think I get away trek long family town sorry ,normal
707,Quite late lar Ard 12 anyway b ,normal
