text,label
"Dear [Name],\n\nDid you know that you could be earning more money TODAY? We have an exciting new program that could help you
",spam
"Dear customer,\nYou have been selected to participate in our exclusive offer for a free vacation package.Visit our website for more information!
",spam
"Hey customer!\nCheck out this amazing new product that you absolutely need! Click here to find out more.
",spam
"Dear friend, \nYou've been selected to get a free luxury watch! Click here to claim your prize!
",spam
"Hey there, \nWe have a special offer right now that you won't want to miss out on! Click the link to find out more.
",spam
"Hi there! \nWe've noticed that you've been missing out on tons of amazing opportunities. Don't miss this one!Click the link to learn more!
",spam
"\n\nDear Valued Customer,\nThis is an exclusive offer just for you \u2013 Claim your free gift card now worth thousands of dollars! All you have to do is click this link to collect your free card.
",spam
"Greetings!\nYou have been chosen to receive our Amazing offer! Visit this website and get a Free Laptop computer worth thousands of dollars! Simply click the link to receive your gift.
",spam
"Hey there!\nYou can be the proud owner of a brand new Rolex watch without spending a dime! Click here and get your very own exclusive watch now.
",spam
Hey friend!\nMake your dreams come true with this once-in-a-lifetime offer. Get a brand new car for free! Click,spam
"Hi Everyone,\n\nI will be hosting a game night on Friday at my house. Everyone is invited! 
",normal
"Hi John,\n\nI hope this mail finds you well. I wanted to reach out to you about our upcoming presentation on Monday.
",normal
"Hi Team,\n\nI'm sending out this mail to the whole team to remind everyone about the team meeting later tonight. 
",normal
"Hi Tom,\n\nI wanted to check if you received the email I sent you regarding the new project development.Hi All,\n\nWe will be having a conference call tomorrow morning at 10 AM in order to discuss the new budget plans.
",normal
"Hi There,\n\nI am writing to inform you about the new internship opportunities available at our company.
",normal
"Hello Mary,\n\nThis is a friendly reminder about our appointment tomorrow at 3 PM.
",normal
"Hi Everyone,\n\nI just wanted to let you know that I have updated the project timeline. Please take a look and let me know what you think.
",normal
"Hi Bill,\n\nI was just checking in to make sure you have received the document I sent you yesterday.
",normal
"Hi Everyone,\n\nPlease join us for the company picnic on Saturday! Food, drinks and games will be provided.",normal
